team,odds,week
+1000,-2000,18
-125,105,18
+325,-426,18
+135,-160,18
-225,185,18
-150,125,18
+325,-426,18
+190,-230,18
-110,-110,18
+600,-901,18
+390,-526,18
-245,200,18
+130,-155,18
-180,150,18
-125,105,18
+125,-150,18
