Record,Correct,Wrong,Percent,week
13-3,13,3,0.8125,1
15-1,15,1,0.9375,1
13-3,13,3,0.8125,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
8-8,8,8,0.5,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
13-3,13,3,0.8125,1
13-3,13,3,0.8125,1
9-7,9,7,0.5625,1
19-12,19,12,0.6129032258064516,2
22-10,22,10,0.6875,2
20-12,20,12,0.625,2
19-13,19,13,0.59375,2
20-12,20,12,0.625,2
13-19,13,19,0.40625,2
17-15,17,15,0.53125,2
20-12,20,12,0.625,2
19-13,19,13,0.59375,2
21-11,21,11,0.65625,2
14-18,14,18,0.4375,2
20-21,20,21,0.4878048780487805,3
30-18,30,18,0.625,3
27-21,27,21,0.5625,3
27-21,27,21,0.5625,3
26-22,26,22,0.5416666666666666,3
21-27,21,27,0.4375,3
25-23,25,23,0.5208333333333334,3
29-19,29,19,0.6041666666666666,3
27-21,27,21,0.5625,3
28-20,28,20,0.5833333333333334,3
22-26,22,26,0.4583333333333333,3
30-27,30,27,0.5263157894736842,4
41-23,41,23,0.640625,4
37-27,37,27,0.578125,4
37-27,37,27,0.578125,4
38-26,38,26,0.59375,4
30-34,30,34,0.46875,4
36-28,36,28,0.5625,4
37-27,37,27,0.578125,4
36-28,36,28,0.5625,4
38-26,38,26,0.59375,4
31-33,31,33,0.484375,4
42-29,42,29,0.5915492957746479,5
50-28,50,28,0.6410256410256411,5
46-32,46,32,0.5897435897435898,5
46-32,46,32,0.5897435897435898,5
45-33,45,33,0.5769230769230769,5
39-39,39,39,0.5,5
43-35,43,35,0.5512820512820513,5
46-32,46,32,0.5897435897435898,5
45-33,45,33,0.5769230769230769,5
46-32,46,32,0.5897435897435898,5
39-39,39,39,0.5,5
55-30,55,30,0.6470588235294118,6
64-28,64,28,0.6956521739130435,6
59-33,59,33,0.6413043478260869,6
58-34,58,34,0.6304347826086957,6
56-36,56,36,0.6086956521739131,6
51-41,51,41,0.5543478260869565,6
54-38,54,38,0.5869565217391305,6
59-33,59,33,0.6413043478260869,6
57-35,57,35,0.6195652173913043,6
57-35,57,35,0.6195652173913043,6
50-42,50,42,0.5434782608695652,6
66-34,66,34,0.66,7
75-32,75,32,0.7009345794392523,7
69-38,69,38,0.6448598130841121,7
69-38,69,38,0.6448598130841121,7
65-42,65,42,0.6074766355140186,7
60-47,60,47,0.5607476635514018,7
64-43,64,43,0.5981308411214953,7
69-38,69,38,0.6448598130841121,7
68-39,68,39,0.6355140186915887,7
66-41,66,41,0.616822429906542,7
61-46,61,46,0.5700934579439252,7
76-40,76,40,0.6551724137931034,8
85-38,85,38,0.6910569105691057,8
78-45,78,45,0.6341463414634146,8
78-45,78,45,0.6341463414634146,8
76-47,76,47,0.6178861788617886,8
71-52,71,52,0.5772357723577236,8
75-48,75,48,0.6097560975609756,8
81-42,81,42,0.6585365853658537,8
78-45,78,45,0.6341463414634146,8
79-44,79,44,0.6422764227642277,8
72-51,72,51,0.5853658536585366,8
87-44,87,44,0.6641221374045801,9
96-42,96,42,0.6956521739130435,9
91-47,91,47,0.6594202898550725,9
89-49,89,49,0.644927536231884,9
87-51,87,51,0.6304347826086957,9
80-58,80,58,0.5797101449275363,9
86-52,86,52,0.6231884057971014,9
93-45,93,45,0.6739130434782609,9
89-49,89,49,0.644927536231884,9
91-47,91,47,0.6594202898550725,9
84-54,84,54,0.6086956521739131,9
97-48,97,48,0.6689655172413793,10
106-46,106,46,0.6973684210526315,10
100-52,100,52,0.6578947368421053,10
100-52,100,52,0.6578947368421053,10
97-55,97,55,0.6381578947368421,10
88-64,88,64,0.5789473684210527,10
93-59,93,59,0.6118421052631579,10
99-53,99,53,0.6513157894736842,10
98-54,98,54,0.6447368421052632,10
100-52,100,52,0.6578947368421053,10
94-58,94,58,0.618421052631579,10
105-54,105,54,0.660377358490566,11
115-51,115,51,0.6927710843373494,11
110-56,110,56,0.6626506024096386,11
112-54,112,54,0.6746987951807228,11
105-61,105,61,0.6325301204819277,11
97-69,97,69,0.5843373493975904,11
102-64,102,64,0.6144578313253012,11
109-57,109,57,0.6566265060240963,11
106-60,106,60,0.6385542168674698,11
109-57,109,57,0.6566265060240963,11
105-61,105,61,0.6325301204819277,11
113-59,113,59,0.6569767441860465,12
125-54,125,54,0.6983240223463687,12
119-60,119,60,0.664804469273743,12
120-59,120,59,0.6703910614525139,12
114-65,114,65,0.6368715083798883,12
103-76,103,76,0.5754189944134078,12
111-68,111,68,0.6201117318435754,12
116-63,116,63,0.6480446927374302,12
115-64,115,64,0.6424581005586593,12
