team,odds,week
+135,-160,16
-130,110,16
+230,-280,16
+265,-330,16
-319,260,16
-210,175,16
-165,140,16
-180,150,16
+180,-220,16
+350,-450,16
-170,145,16
-105,-115,16
+600,-901,16
+105,-125,16
-205,170,16
+550,-800,16
-245,200,16
-125,105,16
